id,name,latitude,longitude,price
63320,D Private Che@p Room 2 Explore NYC,40.6348102763,-74.0851868113,30
63360,"Safe quaint cute & close+garden New York City, NY",40.7538400283,-73.9143252073,99
63373,"Quiet room in Carroll Gardens, Brooklyn",40.6824801257,-74.0007324908,70
63546,Large and Cozy Private Bedroom,40.641064243,-73.9742596344,39
63573,Small tidy bedroom in duplex,40.6679335602,-73.9832691359,60
63588,LL3,40.813089482,-73.8551391328,90
63610,DOMINIQUE'S NY CHIC SUITE-wifi/metro/sleeps 3*safe,40.8805734561,-73.8357233269,99
63640,Awesome Apartment in Prime Location - Monthly Deal,40.7401227047,-73.9854426609,175
63657,"Private, Large & Sunny 2BR w/W&D",40.6823578528,-73.943137579,160
63693,Cottage in the Village,40.721845232,-73.9824636598,390
63719,BEDROOM1 FOR RENT 10min from Manhan,40.685030573,-73.9538461184,80
63891,Relaxed room one person ONLY,40.8318919839,-73.8729400204,35
64000,Williamsburg > soho. 10 min /no less than15days,40.7069013607,-73.9546698904,60
64015,Prime East Village 1 Bedroom,40.7280723583,-73.9859388598,200
64107,BROOKLYN  STUDIO APARTMENT,40.6778025096,-73.9433945586,100
64277,BEDROOM2 FOR RENT  10min from Manh,40.6831681752,-73.9470069494,70
64314,cozy bedroom in lovely garden apt,40.6760985749,-73.9528969805,110
64361,East village one bedroom apartment,40.7216176212,-73.9796044783,130
64365,Crown Heights Garden Apt.,40.6758569101,-73.9515480168,60
64376,Very Small 1 Single Person Only No More 5 X 8 Room,40.8333332323,-73.8726810722,35
